Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage
"Devil's Creek Sauvignon Blanc 2022, Marlborough",9.99,75.0,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,13.0,2022
"Two Hands 'Tenacity' Old Vine Shiraz 2021/22, Australia",14.99,75.0,Australia,10.7,"Vanilla, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Jammy, Spice",per bottle,Red,14.2,2022
"Olivier Dubois 'Cuvée Prestige' Pinot Noir 2021/22, France",9.99,75.0,France,9.4,"Strawberry, Cranberry, Red Cherry",per bottle,Red,12.5,2022
"Saint Clair 'Pioneer Block' Sauvignon Blanc 2020/21, Wairau Valley",19.99,75.0,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,13.0,2021
Domaine de la Tourmaline ‘Sur Lie’ Muscadet de Sèvre et Maine 2021/22,10.99,75.0,France,9.0,"Pear, Bread, Green Apple, Lemon, Lime",per bottle,White,12.0,2022
Domaine des Patureaux Organic Pouilly-Fumé 2021/22,18.99,75.0,France,10.1,"Smoke, Citrus Fruit, Grass, Green Apple",per bottle,White,13.5,2022
Definition Chablis 2022,17.99,75.0,France,9.4,"Wet Stones, Green Apple, Lemon",per bottle,White,12.5,2022
Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2021/22,23.99,75.0,France,10.1,"Green Apple, Citrus Fruit, Grass",per bottle,White,13.5,2022
Nicolas Feuillatte 2012/15 Champagne,34.99,75.0,France,9.0,"Pear, Biscuit, Green Apple, Pastry",per bottle,White,12.0,2015
Chosen by Majestic Prosecco DOC,9.99,750.0,Italy,8.3,"Floral, Peach, Pear",per bottle,White,11.0,Non-Vintage
Pommery 'Brut Royal' Champagne,43.99,75.0,France,9.4,"Honey, Almond, Citrus Fruit, Floral, Green Apple",per bottle,White,12.5,Non-Vintage
"Rocklin Ranch Cabernet Sauvignon 2020/21, Monterey",18.99,75.0,USA,10.9,"Vanilla, Black Fruit, Black Plum, Blackberry, Blueberry",per bottle,Red,14.5,2021
"Rocklin Ranch Chardonnay 2020/21, Monterey",18.99,75.0,USA,10.1,"Vanilla, Butter, Green Apple, Lemon, Peach, Tropical Fruit",per bottle,White,13.5,2021
"Rocklin Ranch Pinot Noir 2020/21, Monterey",18.99,75.0,USA,10.1,"Vanilla, Cloves, Raspberry, Red Cherry, Red Fruit, Spice",per bottle,Red,13.5,2021
"Mayu Carménère Appassimento 2019/20, Chile",12.99,75.0,Chile,10.9,"Vanilla, Black Plum, Blackberry, Green Bell Pepper, Spice, Sweet Spice",per bottle,Red,14.5,2020
"Definition Zinfandel 2019/20, Lodi",10.99,75.0,USA,10.9,"Spice, Black Cherry, Blueberry, Raspberry",per bottle,Red,14.5,2020
Langlois-Chateau 'Classique' Crémant de Loire Brut,19.99,75.0,France,9.4,"Citrus Fruit, Pastry, Pear",per bottle,White,12.5,Non-Vintage
"Jim Barry 'The Lodge Hill' Shiraz 2020/21, Clare Valley",15.99,75.0,Australia,10.5,"Vanilla, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Cloves, Sweet Spice, Tobacco",per bottle,Red,14.0,2021
"Rustenberg 'RM Nicholson' 2020/21, Stellenbosch",14.99,75.0,South Africa,10.5,"Vanilla, Black Pepper, Blackberry, Blackcurrant, Cedar, Leather, Spice",per bottle,Red,14.0,2021
"Klein Constantia Sauvignon Blanc 2020/21, Constantia",15.99,75.0,South Africa,10.1,"Grass, Citrus Fruit, Floral",per bottle,White,13.5,2021
"Vasse Felix 'Filius' Chardonnay 2021/22, Margaret River",14.99,75.0,Australia,9.8,"Vanilla, Butter, Green Apple, Lemon, Peach, Smoke",per bottle,White,13.0,2022
"Château Fontesteau 2014, Haut-Médoc",16.99,75.0,France,9.8,"Blackcurrant, Mint, Savoury",per bottle,Red,13.0,2014
"Rustenberg Sauvignon Blanc 2021/22, Stellenbosch",14.99,75.0,South Africa,10.1,"Grass, Citrus Fruit, Floral",per bottle,White,13.5,2022
Devaux Blanc de Noirs Champagne,29.99,75.0,France,9.0,"Red Fruit, Raspberry, Red Cherry",per bottle,White,12.0,Non-Vintage
Gabriel Allard Côtes du Rhône Blanc 2022,9.99,75.0,France,9.8,"Citrus Fruit, Floral, Stone Fruit",per bottle,White,13.0,2022
"Peter Lehmann 'The Barossan' Shiraz 2019/20, Barossa",18.99,75.0,Australia,10.9,"Smoke, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Coffee, Leather",per bottle,Red,14.5,2020
Marqués de Cáceres Rioja Gran Reserva 2014/15,22.99,75.0,Spain,10.9,"Vanilla, Black Fruit, Red Fruit, Spice",per bottle,Red,14.5,2015
Chosen by Majestic Grüner Veltliner Kremstal DAC 2022,11.29,75.0,Austria,9.4,"Lemon, Peach, Quince, Red Apple, White Pepper",per bottle,White,12.5,2022
